epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,217.205,1.81901,2.16663,1.29075,0.64738,0.63211,0.66569,0.37075,1.65224,5.16009,1.22657,0.000665459,0.000665459,0.000665459
2,408.055,1.71095,1.56972,1.24258,0.70247,0.64972,0.70427,0.40266,1.66043,2.06853,1.21552,0.00130575,0.00130575,0.00130575
3,593.748,1.68937,1.4945,1.24528,0.68077,0.65224,0.67137,0.3514,1.88644,2.76341,1.33529,0.00191964,0.00191964,0.00191964
4,780.44,1.63344,1.41524,1.20165,0.68723,0.71577,0.7401,0.42706,1.60179,1.88604,1.19022,0.0018812,0.0018812,0.0018812
5,967.694,1.60592,1.35504,1.18994,0.70779,0.72726,0.75289,0.44918,1.54833,1.75568,1.18171,0.0018416,0.0018416,0.0018416
6,1151.73,1.5663,1.29961,1.16869,0.72483,0.7255,0.76371,0.45198,1.58072,1.55854,1.18558,0.001802,0.001802,0.001802
7,1336.51,1.5327,1.27145,1.15538,0.7,0.7454,0.76036,0.4443,1.71296,1.77905,1.23272,0.0017624,0.0017624,0.0017624
8,1522.68,1.52287,1.26263,1.14444,0.71869,0.73741,0.77614,0.4756,1.47927,1.47945,1.13488,0.0017228,0.0017228,0.0017228
9,1711.86,1.50164,1.24223,1.13821,0.72503,0.74139,0.77519,0.46683,1.47153,1.65073,1.11606,0.0016832,0.0016832,0.0016832
10,1899.88,1.48636,1.20783,1.12833,0.71877,0.74279,0.77276,0.45796,1.50548,1.52495,1.12283,0.0016436,0.0016436,0.0016436
11,2086.76,1.46918,1.19679,1.12207,0.74375,0.74139,0.78336,0.46844,1.51667,1.47339,1.17045,0.001604,0.001604,0.001604
12,2274.96,1.45485,1.18542,1.11203,0.72524,0.76502,0.78796,0.493,1.43193,1.50282,1.11143,0.0015644,0.0015644,0.0015644
13,2464.94,1.44037,1.16197,1.10666,0.73564,0.76942,0.79963,0.50123,1.4911,1.44103,1.12603,0.0015248,0.0015248,0.0015248
14,2650.22,1.43488,1.15801,1.1047,0.73771,0.7542,0.79298,0.4945,1.44995,1.38323,1.11302,0.0014852,0.0014852,0.0014852
15,2836.62,1.41585,1.13709,1.09695,0.72395,0.79103,0.79826,0.48272,1.42225,1.34964,1.09526,0.0014456,0.0014456,0.0014456
16,3022.21,1.41695,1.14403,1.09723,0.75952,0.76421,0.80348,0.50277,1.41289,1.35616,1.09614,0.001406,0.001406,0.001406
17,3205.97,1.40978,1.126,1.09424,0.75562,0.76989,0.80909,0.51202,1.44109,1.52878,1.10882,0.0013664,0.0013664,0.0013664
18,3388.33,1.40547,1.1321,1.09192,0.75614,0.77302,0.80952,0.50862,1.42945,1.53282,1.1033,0.0013268,0.0013268,0.0013268
19,3572.05,1.38626,1.10873,1.0833,0.75745,0.76386,0.81111,0.52027,1.41688,1.3199,1.09581,0.0012872,0.0012872,0.0012872
20,3756.81,1.3923,1.09449,1.08103,0.77122,0.75821,0.81879,0.51807,1.40725,1.37461,1.08398,0.0012476,0.0012476,0.0012476
21,3942.33,1.37772,1.08413,1.07479,0.75136,0.78102,0.8169,0.52224,1.3464,1.43156,1.07164,0.001208,0.001208,0.001208
22,4125.79,1.36383,1.07777,1.07233,0.76455,0.77214,0.82369,0.52266,1.34585,1.32899,1.05528,0.0011684,0.0011684,0.0011684
23,4310.28,1.36241,1.0778,1.07014,0.75632,0.77742,0.81402,0.52148,1.36449,1.23951,1.0752,0.0011288,0.0011288,0.0011288
24,4495.58,1.35773,1.07217,1.06531,0.75775,0.77384,0.8117,0.51756,1.33855,1.24144,1.05421,0.0010892,0.0010892,0.0010892
25,4680.52,1.34992,1.06444,1.06768,0.76386,0.78703,0.8205,0.52758,1.38991,1.19463,1.08253,0.0010496,0.0010496,0.0010496
26,4865.13,1.33865,1.05734,1.0644,0.75556,0.76842,0.81581,0.52817,1.3417,1.22322,1.07139,0.00101,0.00101,0.00101
27,5049.46,1.32672,1.03912,1.05866,0.76094,0.7773,0.8213,0.53691,1.31681,1.53384,1.05381,0.0009704,0.0009704,0.0009704
28,5232.71,1.33202,1.0341,1.05969,0.76574,0.78383,0.82273,0.53805,1.2991,1.22704,1.04985,0.0009308,0.0009308,0.0009308
29,5414.36,1.32093,1.0376,1.05786,0.75781,0.77663,0.82049,0.53572,1.31917,1.20475,1.05842,0.0008912,0.0008912,0.0008912
30,5599.17,1.3235,1.02939,1.05834,0.768,0.77782,0.82465,0.53833,1.32667,1.14588,1.05559,0.0008516,0.0008516,0.0008516
31,5785.22,1.31173,1.02291,1.05146,0.7777,0.77382,0.82435,0.5396,1.27697,1.05978,1.03281,0.000812,0.000812,0.000812
32,5965.46,1.3107,1.01577,1.04609,0.75524,0.79343,0.82253,0.5369,1.31742,1.14557,1.04567,0.0007724,0.0007724,0.0007724
33,6147.63,1.29882,0.99705,1.04477,0.76199,0.78383,0.82466,0.53832,1.38937,1.23911,1.0899,0.0007328,0.0007328,0.0007328
34,6329.79,1.29628,1.01328,1.04426,0.76351,0.79143,0.82975,0.54427,1.31147,1.09681,1.04653,0.0006932,0.0006932,0.0006932
35,6513.47,1.28847,0.98706,1.03793,0.76857,0.78837,0.82531,0.54045,1.30325,1.11449,1.03952,0.0006536,0.0006536,0.0006536
36,6696.42,1.28101,0.98433,1.03768,0.76754,0.78183,0.83231,0.54834,1.28904,1.06258,1.03853,0.000614,0.000614,0.000614
37,6880.02,1.28486,0.98156,1.03532,0.76266,0.78383,0.83079,0.54676,1.30892,1.0903,1.04102,0.0005744,0.0005744,0.0005744
38,7062.99,1.27256,0.96998,1.03341,0.76302,0.79824,0.83183,0.55076,1.27905,1.11917,1.03215,0.0005348,0.0005348,0.0005348
39,7244.17,1.27012,0.97228,1.03213,0.77556,0.77328,0.83196,0.54916,1.29579,1.13249,1.04061,0.0004952,0.0004952,0.0004952
40,7426.79,1.26708,0.9628,1.03262,0.77753,0.77902,0.83035,0.54763,1.29979,1.0633,1.03842,0.0004556,0.0004556,0.0004556
41,7603.74,1.22867,0.91283,1.03197,0.76143,0.78703,0.82728,0.54491,1.29941,1.03258,1.04168,0.000416,0.000416,0.000416
42,7778.28,1.22611,0.89692,1.02549,0.76898,0.77862,0.82715,0.54684,1.29747,1.05007,1.03953,0.0003764,0.0003764,0.0003764
43,7952.98,1.21125,0.88467,1.02085,0.78405,0.75868,0.82425,0.54449,1.32342,1.05696,1.04578,0.0003368,0.0003368,0.0003368
44,8128.28,1.20573,0.88059,1.02445,0.76925,0.76581,0.82479,0.54233,1.30311,1.04545,1.04079,0.0002972,0.0002972,0.0002972
45,8304.76,1.19675,0.86899,1.01944,0.76788,0.76701,0.8236,0.54137,1.30908,1.02186,1.03868,0.0002576,0.0002576,0.0002576
46,8482.71,1.18882,0.86347,1.01522,0.7765,0.77053,0.82367,0.54451,1.32634,1.07015,1.04957,0.000218,0.000218,0.000218
47,8661.28,1.18453,0.85326,1.01413,0.76538,0.78303,0.82511,0.54535,1.30006,1.0151,1.04591,0.0001784,0.0001784,0.0001784
48,8837.45,1.18143,0.84255,1.01272,0.77017,0.78075,0.82348,0.543,1.29568,1.0151,1.04689,0.0001388,0.0001388,0.0001388
49,9014.42,1.181,0.83908,1.01267,0.75902,0.79223,0.82469,0.54683,1.29524,1.02017,1.04632,9.92E-05,9.92E-05,9.92E-05
50,9191.04,1.17035,0.82723,1.00941,0.76523,0.78663,0.82422,0.54512,1.30125,1.03249,1.04709,5.96E-05,5.96E-05,5.96E-05
